Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak 811 Dream Different Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak White Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak IndiGo 6E Rewards Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak Zen Signature Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Myntra Kotak Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak IndiGo 6E Rewards XL Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak League Platinum Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Indianoil Kotak Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak Urbane Gold Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak 811 Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak Mojo Platinum Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Up to 25% OFF* Instant Discount* on Flights and Hotels! Limited period offer,https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,PVR Inox Kotak Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes ELITE + Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Prosperity Reward Plus Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Bank Card Anq Phi Credit  Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,YES Bank Paisabazaar Paisasave Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,YES Bank Marquee Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Prosperity Cashback Plus Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes EMI Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Reserv Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Prosperity Cashback Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Bank BYOC Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Bank Finbooster Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Bank Wellness Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Private Prime Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Bank Wellness Plus Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Prosperity Reward Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,Yes Bank Anq Pi Credit Card,,,,,,,,,,,,,,,,,,,,,
Hotels Flights,Get Up To 15% Instant Discount! *Limited Period Offers,https://gos3.ibcdn.com/top1-1711545023.jpg,https://www.goibibo.com/offers/yes-bank-emi/,YES Bank Rio RuPay Credit Card,,,,,,,,,,,,,,,,,,,,,
