Offer Title,Description,Image,Link,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Flat 15% Off on Domestic Hotels with J&K Bank Cards,Hotels,,https://www.ixigo.com/offers/jk-bank-hotel-dom,,J&K Bank Gold Credit Card,,,,
Flat 15% Off on Domestic Hotels with J&K Bank Cards,Hotels,,https://www.ixigo.com/offers/jk-bank-hotel-dom,,J&K Bank Platinum Credit Card,,,,
Flat 15% Off on Domestic Hotels with J&K Bank Cards,Hotels,,https://www.ixigo.com/offers/jk-bank-hotel-dom,,J&K Bank World Credit Card,,,,
Flat 15% Off on Domestic Hotels with Kotak Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/kotakdom,,Kotak Royale Signature Credit Card,,,,
Flat 15% Off on Domestic Hotels with Kotak Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/kotakdom,,Kotak Privy League Signature credit Card,,,,
Flat 15% Off on Domestic Hotels with Kotak Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/kotakdom,,Kotak NRI Roya Signature Credit Card,,,,
Flat 15% Off on Domestic Hotels with Kotak Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/kotakdom,,Kotak Zen Signature Credit Card,,,,
Flat 15% Off on Domestic Hotels with Kotak Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/kotakdom,,Kotak White Credit Card,,,,
Flat 15% Off on Domestic Hotels with Kotak Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/kotakdom,,Kotak Infinite Credit Card,,,,
Flat 15% Off on Domestic Hotels with Kotak Bank Credit Cards,Hotels,,https://www.ixigo.com/offers/kotakdom,,Kotak Veer Select Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,CSC Small Business MoneyBack Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Biz Black Metal Edition Credit Card,,,,
