Offer Title,Description,Image,Link,,
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Indian Overseas Bank Classic Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Canara Bank Rupay Classic Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Shoppers Stop HDFC Bank Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,SBM Rupicard Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Axis Bank Neo Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Miles Elite SBI Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Indian Coast Guard Rakshamah Bank of Baroda (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Tata Neu Plus HDFC Bank Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Canara Bank Rupay Select Secured Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,HDFC Bharat Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,PVR Inox Kotak Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,HDFC Bank UPI RuPay Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,YES Bank Rio Rupay Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,SBM Paisabazaar Step-Up Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,HDFC Pixel Play Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Tata Neu Plus SBI Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Fed Starbiz Rupay Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,IRCTC Bobcard (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Tata Neu Infinity SBI Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,HDFC Bank Biz First Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,SBM Gild Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Snapdeal Bobcard (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Indianoil RBL Bank Xtra Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Shaurya Select SBI Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,IRCTC SBI Card Premier (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,UCO Bank SimplySAVE SBI Card (Rupay),
